query,latency_ms,top_1,top_1_score,top_1_category,top_1_reason,top_2,top_2_score,top_2_category,top_2_reason,top_3,top_3_score,top_3_category,top_3_reason,top_4,top_4_score,top_4_category,top_4_reason,top_5,top_5_score,top_5_category,top_5_reason
ма,51.3,P0008,12.634138,Бакалея,name match,P0014,12.634138,Бакалея,name match,P0015,12.634138,Кондитерские изделия,name match,P0023,12.634138,Бакалея,name match,P0028,12.634138,Кондитерские изделия,name match
йогурт гр,30.6,P0012,46.80868,Молочные продукты,name match,P0042,46.80868,Молочные продукты,name match,P0164,46.80868,Молочные продукты,name match,P0243,46.80868,Молочные продукты,name match,P0284,46.80868,Молочные продукты,name match
bon pa,29.4,P0028,35.233597,Кондитерские изделия,"name match, brand match",P0330,35.233597,Кондитерские изделия,"name match, brand match",P0581,35.233597,Кондитерские изделия,"name match, brand match",P0638,35.233597,Кондитерские изделия,"name match, brand match",P0894,35.233597,Кондитерские изделия,"name match, brand match"
холс,43.5,,,,,,,,,,,,,,,,,,,,
крем для рук,24.4,P0018,44.889404,Косметика и гигиена,name match,P0130,44.889404,Косметика и гигиена,name match,P0202,44.889404,Косметика и гигиена,name match,P0365,44.889404,Косметика и гигиена,name match,P0400,44.889404,Косметика и гигиена,name match
масло раст 10л,82.5,,,,,,,,,,,,,,,,,,,,
кар тофель,52.2,,,,,,,,,,,,,,,,,,,,
xfq,21.0,P0105,21.737473,Кофе и чай,,P0207,21.737473,Кофе и чай,,P0276,21.737473,Кофе и чай,,P0307,21.737473,Кофе и чай,,P0337,21.737473,Кофе и чай,
adapter usb c,63.0,,,,,,,,,,,,,,,,,,,,
pr,40.0,,,,,,,,,,,,,,,,,,,,
riesling mos,14.6,P0233,37.34271,Алкоголь,name match,P0759,37.34271,Алкоголь,name match,P0109,35.46027,Алкоголь,name match,P0125,35.46027,Алкоголь,name match,P0447,35.46027,Алкоголь,name match
памперсы 3,49.2,,,,,,,,,,,,,,,,,,,,
масло сл,14.3,P0116,30.786667,Молочные продукты,name match,P0544,30.786667,Молочные продукты,name match,P0713,30.786667,Молочные продукты,name match,P0809,30.786667,Молочные продукты,name match,P0944,30.786667,Молочные продукты,name match
филе инд,47.3,,,,,,,,,,,,,,,,,,,,
teos,13.9,P0116,6.0,Молочные продукты,"name match, brand match",P0284,6.0,Молочные продукты,"name match, brand match",P0304,6.0,Молочные продукты,"name match, brand match",P0544,6.0,Молочные продукты,"name match, brand match",P0713,6.0,Молочные продукты,"name match, brand match"
греч не,39.8,,,,,,,,,,,,,,,,,,,,
prosecco ro,41.4,,,,,,,,,,,,,,,,,,,,
джин то,41.2,,,,,,,,,,,,,,,,,,,,
хозяйст мыло,41.7,,,,,,,,,,,,,,,,,,,,
power bank 20,16.9,P0122,72.09842,Электроника,name match,P0197,72.09842,Электроника,name match,P0714,72.09842,Электроника,name match,,,,,,,,
сыр гауда,13.0,P0492,33.432774,Сыры,name match,P0026,32.169464,Сыры,name match,P0124,32.169464,Сыры,name match,P0176,32.169464,Сыры,name match,P0318,32.169464,Сыры,name match
diap night,44.5,,,,,,,,,,,,,,,,,,,,
cat adult,37.9,,,,,,,,,,,,,,,,,,,,
dog hypo,35.9,,,,,,,,,,,,,,,,,,,,
san pelle,16.9,P0789,47.50992,Напитки,"name match, brand match",,,,,,,,,,,,,,,,
посуд моющ,36.4,,,,,,,,,,,,,,,,,,,,
лампа led е27,65.6,,,,,,,,,,,,,,,,,,,,
